,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic,walk-challenging,walk-positive,walk-sympathetic,walk-neutral ,run-challenging ,run-positive ,run-sympathetic ,run-neutral 
H1,0,0,0,18,0,0,30,0,0,0,0,0,0,0,0,0,0,16,0,0,0,14
IML-S1,0,3,0,6,0,0,10,4,6,2,4,6,4,4,3,11,4,0,5,6,8,0
