,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic
H2,0,1,0,0,0,64,0,0,0,0,0,0,0,0
IML-S2,3,1,1,5,0,0,17,5,4,2,6,4,2,3
IML-A,4,0,0,7,0,0,21,12,1,1,3,1,2,0
