,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic,walk-challenging,walk-positive,walk-sympathetic,walk-neutral ,run-challenging ,run-positive ,run-sympathetic ,run-neutral 
H1,0,0,0,20,0,0,17,0,3,0,8,0,0,0,0,0,0,16,0,0,0,14
IML-S1,0,4,0,12,0,0,22,0,9,6,13,5,4,8,0,12,1,1,5,4,0,3
