,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic
H2,0,1,0,6,0,0,0,0,26,0,23,0,0,0
IML-S2,3,2,0,5,0,3,15,9,4,0,8,5,2,2
IML-A,1,2,0,2,0,0,13,4,3,0,9,2,6,2
