,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic
H2,0,1,0,13,0,0,0,0,0,0,51,0,0,0
IML-S2,1,1,2,4,0,0,8,7,6,0,6,3,3,3
IML-A,1,1,1,5,0,0,7,7,3,0,13,1,7,3
