,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic
H2,0,1,0,15,0,0,0,0,13,0,33,0,0,0
IML-S2,2,1,2,7,0,0,9,5,2,2,6,4,3,1
IML-A,3,2,0,19,0,0,12,4,0,5,0,2,1,1
