,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic,walk-challenging,walk-positive,walk-sympathetic,walk-neutral ,run-challenging ,run-positive ,run-sympathetic ,run-neutral 
H1,0,0,0,38,0,0,0,0,4,0,6,0,0,0,0,0,0,16,0,0,0,14
IML-S1,0,4,2,17,0,0,19,4,13,3,18,5,6,7,0,15,0,0,4,6,0,2
