LB,1,heuristic,great,great
LB,2,supervised,great,great
LB,3,heuristic,great,great
LB,4,supervised,great,great
LB,5,heuristic,great,great
LB,6,supervised,great,great
LB,7,heuristic,great,great
LB,8,supervised,great,great
LB,9,supervised,great,great
LB,10,supervised,great,great
LB,11,supervised,great,great
LB,12,supervised,great,great
LB,13,supervised,great,great
LB,14,supervised,great,great
LB,15,supervised,great,great
LB,16,supervised,great,great
LB,17,supervised,great,great
LB,18,supervised,great,great
LB,19,supervised,great,great
LB,20,supervised,great,great
LB,21,supervised,great,great
LB,22,supervised,great,great
LB,23,autonomous,great,great
LB,24,autonomous,great,great
LB,25,heuristic2,great,great
LB,26,autonomous,great,great
LB,27,autonomous,great,great
DP,1,supervised,great,great
DP,2,heuristic,great,great
DP,3,supervised,great,great
DP,4,heuristic,not great,great
DP,5,supervised,great,great
DP,6,heuristic,great,great
DP,7,supervised,great,great
DP,8,heuristic,great,great
DP,9,supervised,great,great
DP,10,supervised,great,great
DP,11,supervised,great,great
DP,12,supervised,great,great
DP,13,supervised,great,great
DP,14,supervised,great,great
DP,15,supervised,great,great
DP,16,supervised,great,great
DP,17,supervised,great,great
DP,18,supervised,great,great
DP,19,supervised,great,great
DP,20,supervised,ok,great
DP,21,supervised,ok,great
DP,22,autonomous,ok,great
DP,23,autonomous,great,great
DP,24,supervised,great,great
DP,25,autonomous,great,great
DP,26,autonomous,great,great
DP,27,heuristic2,great,great
FB,1,heuristic,ok,ok
FB,2,supervised,ok,ok
FB,3,heuristic,ok,ok
FB,4,supervised,great,great
FB,5,heuristic,ok,ok
FB,6,supervised,ok,ok
FB,7,heuristic,great,ok
FB,8,supervised,ok,ok
FB,9,supervised,ok,ok
FB,10,supervised,ok,ok
FB,11,supervised,ok,ok
FB,12,supervised,ok,ok
FB,13,supervised,great,great
FB,14,supervised,great,ok
FB,15,supervised,great,great
FB,16,supervised,ok,ok
FB,17,supervised,ok,great
FB,18,supervised,ok,ok
FB,19,supervised,ok,ok
FB,20,supervised,ok,ok
FB,21,supervised,ok,ok
FB,22,autonomous,great,ok
FB,23,autonomous,great,ok
FB,24,heuristic2,ok,ok
FB,25,autonomous,ok,ok
FB,26,autonomous,great,ok
JF,1,supervised,great,ok
JF,2,heuristic,great,ok
JF,3,supervised,great,great
JF,4,heuristic,great,ok
JF,5,supervised,ok,blank
JF,6,heuristic,great,great
JF,7,supervised,great,great
JF,8,heuristic,great,ok
JF,9,supervised,great,great
JF,10,supervised,great,great
JF,11,supervised,ok,great
JF,12,supervised,ok,great
JF,13,supervised,great,great
JF,14,supervised,great,great
JF,15,supervised,ok,great
JF,16,supervised,ok,great
JF,17,supervised,ok,ok
JF,18,supervised,great,great
JF,19,supervised,ok,great
JF,20,supervised,great,great
JF,21,supervised,great,great
JF,22,supervised,great,great
JF,23,autonomous,ok,great
JF,24,autonomous,ok,great
JF,25,heuristic2,great,great
JF,26,autonomous,ok,great
JF,27,autonomous,great,great
JW,2,heuristic,great,great
JW,3,supervised,great,great
JW,4,heuristic,great,great
JW,5,supervised,great,great
JW,6,heuristic,great,great
JW,7,supervised,great,great
JW,8,heuristic,great,ok
JW,9,supervised,great,ok
