,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic,walk-challenging,walk-positive,walk-sympathetic,walk-neutral ,run-challenging ,run-positive ,run-sympathetic ,run-neutral 
H1,0,0,0,2,0,0,0,0,0,0,52,0,0,0,0,0,0,14,0,0,0,12
IML-S1,0,5,2,7,0,0,13,4,4,1,8,4,2,4,1,16,1,0,8,4,9,1
