,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic,walk-challenging,walk-positive,walk-sympathetic,walk-neutral ,run-challenging ,run-positive ,run-sympathetic ,run-neutral 
H1,0,0,0,34,0,0,15,0,0,0,5,0,0,0,0,0,0,14,0,0,0,12
IML-S1,0,5,2,6,0,0,11,4,8,4,10,9,5,9,0,9,1,0,3,2,0,3
