FB,2,0.47,0.53
DP,1,0.27,0.73
LB,2,0.47,0.53
JF,1,0.73,0.27
GB,2,0.53,0.47
DP,3,0.8,0.2
MB,1,0.67,0.33
JF,3,0.6,0.4
DB,1,0.67,0.33
LB,4,0.55,0.45
FB,4,0.45,0.55
GB,4,0.82,0.18
JW,5,0.64,0.36
DB,3,0.6,0.4
DP,5,0.45,0.55
MB,3,0.4,0.6
GB,6,0.36,0.74
MR,2,0.47,0.53
LB,6,0.18,0.82
DP,7,0.5,0.5
MR,4,1,0
JF,7,1,0
DB,5,1,0
MB,5,1,0
PT,2,1,0
JW,7,1,0
LB,8,1,0
DP,9,1,0
LB,9,1,0
DP,10,1,0
PT,4,1,0
DB,7,1,0
LB,10,1,0
MR,6,1,0
DP,11,1,0
JW,9,1,0
DP,12,1,0
LB,11,1,0
GB,8,1,0
JW,10,1,0
FB,6,1,0
MR,8,1,0
JW,11,1,0
JF,9,1,0
MR,9,1,0
DB,9,1,0
LB,12,1,0
DP,13,1,0
MR,10,1,0
JF,10,1,0
JW,12,1,0
GB,9,1,0
MB,9,1,0
DP,14,1,0
FB,8,1,0
MR,11,1,0
PT,8,1,0
LB,13,1,0
JF,11,1,0
GB,10,1,0
JW,13,1,0
LB,14,1,0
DP,16,1,0
FB,9,1,0
PT,9,1,0
GB,11,1,0
MB,10,1,0
FB,10,1,0
GB,12,1,0
JF,12,1,0
DB,10,1,0
DP,17,1,0
JF,13,1,0
GB,13,1,0
PT,10,1,0
PT,11,1,0
JF,14,1,0
GB,14,1,0
FB,11,1,0
DB,11,1,0
PT,12,1,0
GB,15,1,0
DB,12,1,0
MB,12,1,0
FB,12,1,0
JF,15,1,0
MR,12,1,0
LB,16,1,0
DP,19,1,0
JF,16,1,0
FB,13,1,0
GB,16,1,0
MB,13,1,0
PT,13,1,0
DP,20,1,0
FB,14,1,0
JF,17,1,0
PT,14,1,0
DB,13,1,0
LB,17,1,0
GB,17,1,0
JF,18,1,0
FB,15,1,0
PT,15,1,0
DB,14,1,0
DP,21,1,0
FB,16,1,0
JW,16,1,0
GB,18,1,0
DB,15,1,0
FB,17,1,0
JW,17,1,0
GB,19,1,0
PT,16,1,0
DB,16,1,0
LB,18,1,0
FB,18,1,0
JF,19,1,0
MR,13,1,0
GB,20,1,0
PT,17,1,0
LB,19,1,0
MR,14,1,0
JF,20,1,0
JW,20,1,0
GB,21,1,0
JW,21,1,0
JF,21,1,0
FB,19,1,0
MR,15,1,0
PT,18,1,0
LB,21,1,0
FB,20,1,0
JW,22,1,0
FB,21,1,0
JF,22,1,0
MR,16,1,0
LB,22,1,0
MR,17,1,0
DB,17,1,0
MR,18,1,0
