user_id,performed,preference,work
PT,IML,IML,IML
FB,no difference,IML,IML
DB,IML,IML,neither
JW,no difference,H,no difference
MR,H,no difference,no difference
GB,IML,IML,IML
JF,H,no difference,H
LB,H,no difference,no difference
DP,IML,IML,IML
