,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic
H2,0,1,0,7,0,0,0,0,31,0,17,0,0,0
IML-S2,4,1,3,5,0,0,13,6,2,0,10,7,5,3
IML-A,7,2,0,4,0,0,9,3,3,0,9,0,8,0
