,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic
H2,0,1,0,4,0,0,0,0,28,0,32,0,0,0
IML-S2,0,2,3,6,0,0,11,9,6,1,8,3,3,1
IML-A,0,2,1,8,0,0,5,15,2,0,13,1,2,0
