,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic
DB,1,3,7,5,0,0,21,9,10,5,13,15,7,7
DP,5,1,2,8,0,0,30,15,7,2,11,3,8,6
FB,2,2,4,12,0,0,20,12,7,2,11,8,7,3
GB,5,2,1,8,0,0,28,12,4,2,8,6,6,4
JF,0,4,3,13,0,0,20,14,7,4,14,4,7,2
JW,1,2,3,7,0,0,15,12,7,0,13,6,6,4
LB,2,3,6,10,2,0,24,5,14,5,11,8,5,3
MR,3,3,1,11,0,3,24,15,9,0,13,12,5,4
PT,4,2,3,8,0,1,22,10,3,0,18,12,7,6
