,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic
H2,0,1,0,0,0,64,0,0,0,0,0,0,0,0
IML-S2,4,0,1,4,0,0,17,9,5,1,7,3,3,2
IML-A,6,0,0,5,0,0,19,6,2,1,7,2,4,0
