,animation-positive,checkpre-sympathetic,getcloser-challenging,performance-positive,performance-challenging ,performance-sympathetic ,reward-positive,reward-sympathetic,social-challenging,social-positive,social-sympathetic,time-challenging,time-positive,time-sympathetic
H2,0,1,0,6,0,0,0,0,17,0,32,0,0,0
IML-S2,1,1,5,2,0,0,11,5,7,8,8,11,2,3
IML-A,0,2,0,7,0,0,12,2,7,0,6,0,6,3
